id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0009140,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0009362,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011436,G12.2,G12,254.0,174.0,0.050535597752558614
MONDO_0011472,Q81.0,Q81,2.0,0.0,0.0003979180925398316
MONDO_0011884,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0011965,G40.2,G40,1.0,0.0,0.0001989590462699158
MONDO_0013007,D81.8,D81,1.0,1.0,0.0001989590462699158
MONDO_0007031,I71.4,I71,957.0,494.0,0.19040380728030942
MONDO_0007409,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0007790,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0008026,G12.1,G12,5.0,2.0,0.000994795231349579
MONDO_0008961,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0009377,E72.2,E72,4.0,1.0,0.0007958361850796633
MONDO_0009983,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010702,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0011694,G11.2,G11,7.0,4.0,0.0013927133238894106
MONDO_0012901,D68.8,D68,234.0,32.0,0.046556416827160295
MONDO_0007029,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0007414,M89.5,M89,13.0,5.0,0.0025864676015089055
MONDO_0007727,E85.0,E85,7.0,2.0,0.0013927133238894106
MONDO_0008668,D68.0,D68,135.0,49.0,0.026859471246438633
MONDO_0009111,E79.8,E79,2.0,0.0,0.0003979180925398316
MONDO_0009467,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009936,Q33.6,Q33,4.0,1.0,0.0007958361850796633
MONDO_0010143,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0010390,E70.3,E70,15.0,2.0,0.002984385694048737
MONDO_0010403,H90.5,H90,289.0,71.0,0.05749916437200567
MONDO_0010446,H53.8,H53,887.0,247.0,0.17647667404141532
MONDO_0011524,D47.9,D47,58.0,28.0,0.011539624683655117
MONDO_0011903,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0012118,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0000903,G24.1,G24,9.0,6.0,0.0017906314164292422
MONDO_0007158,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0007669,E11.2,E11,312.0,44.0,0.06207522243621373
MONDO_0007924,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008016,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0008426,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008650,Q87.5,Q87,2.0,0.0,0.0003979180925398316
MONDO_0008818,I77.1,I77,1027.0,691.0,0.20433094051920353
MONDO_0009493,G60.2,G60,3.0,1.0,0.0005968771388097474
MONDO_0009740,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009841,G31.8,G31,179.0,58.0,0.03561366928231493
MONDO_0010437,G31.8,G31,179.0,58.0,0.03561366928231493
MONDO_0010463,Q87.8,Q87,28.0,5.0,0.005570853295557642
