id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0017173,N46,N46,75.0,64.0,0.014921928470243685
MONDO_0019138,D69.8,D69,9.0,1.0,0.0017906314164292422
EFO_0000182,C22.0,C22,195.0,140.0,0.03879701402263358
EFO_0002616,C88.0,C88,88.0,64.0,0.01750839607175259
EFO_0005046,B55.1,B55,5.0,1.0,0.000994795231349579
MONDO_0015417,Q18.8,Q18,3.0,2.0,0.0005968771388097474
MONDO_0015787,D66,D66,84.0,38.0,0.016712559886672928
MONDO_0017231,E80.2,E80,21.0,5.0,0.004178139971668232
MONDO_0017451,Q71.8,Q71,2.0,0.0,0.0003979180925398316
MONDO_0017476,Q74.0,Q74,25.0,13.0,0.004973976156747895
MONDO_0018740,D74.8,D74,1.0,0.0,0.0001989590462699158
MONDO_0018948,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0018962,Q43.3,Q43,26.0,7.0,0.005172935203017811
MONDO_0019570,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0019920,Q99.8,Q99,20.0,4.0,0.003979180925398316
EFO_0003968,C49.9,C49,66.0,28.0,0.013131297053814443
EFO_0003968,C49.9,C49,66.0,28.0,0.013131297053814443
MONDO_0013595,K76.8,K76,1072.0,186.0,0.21328409760134973
MONDO_0013928,G24.8,G24,27.0,17.0,0.005371894249287726
MONDO_0015066,D37.3,D37,100.0,17.0,0.01989590462699158
MONDO_0015066,C18.1,C18,132.0,82.0,0.026262594107628885
MONDO_0015463,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0016096,C56,C56,1452.0,1046.0,0.2888885351839177
MONDO_0017468,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0017931,G71.8,G71,5.0,2.0,0.000994795231349579
MONDO_0018203,E34.8,E34,40.0,25.0,0.007958361850796632
MONDO_0019449,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0020344,G70.2,G70,3.0,3.0,0.0005968771388097474
MONDO_0014310,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0015462,Q87.5,Q87,2.0,0.0,0.0003979180925398316
MONDO_0015995,M85.8,M85,397.0,25.0,0.07898674136915658
MONDO_0016168,E85.0,E85,7.0,2.0,0.0013927133238894106
MONDO_0016238,D21.9,D21,33.0,18.0,0.006565648526907221
MONDO_0016494,G61.0,G61,244.0,191.0,0.04854600728985946
MONDO_0016621,G10,G10,19.0,1.0,0.0037802218791284
MONDO_0016651,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0016692,C71.9,C71,360.0,242.0,0.07162525665716969
MONDO_0017502,Q71.3,Q71,3.0,0.0,0.0005968771388097474
MONDO_0017985,Q74.0,Q74,25.0,13.0,0.004973976156747895
MONDO_0019817,Q23.2,Q23,1.0,0.0,0.0001989590462699158
MONDO_0019817,Q23.3,Q23,12.0,3.0,0.0023875085552389898
EFO_0003779,E06.3,E06,261.0,75.0,0.051928311076448026
EFO_0004152,G25.5,G25,13.0,4.0,0.0025864676015089055
MONDO_0013125,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0014507,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0014701,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0016046,Q66.8,Q66,113.0,62.0,0.022482372228500486
MONDO_0017290,K83.1,K83,955.0,602.0,0.1900058891877696
MONDO_0019366,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0019457,C92.0,C92,375.0,320.0,0.07460964235121842
MONDO_0019995,E03.1,E03,13.0,0.0,0.0025864676015089055
MONDO_0015372,D69.4,D69,46.0,17.0,0.009152116128416127
MONDO_0015755,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0016529,Q64.7,Q64,13.0,4.0,0.0025864676015089055
MONDO_0016539,E72.0,E72,11.0,3.0,0.0021885495089690736
MONDO_0017007,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0017517,Q72.8,Q72,5.0,2.0,0.000994795231349579
MONDO_0017563,Q74.1,Q74,23.0,4.0,0.004576058064208063
MONDO_0018869,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0018939,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0019505,G11.1,G11,13.0,7.0,0.0025864676015089055
EFO_0003812,D64.3,D64,10.0,7.0,0.001989590462699158
EFO_0003812,D64.3,D64,10.0,7.0,0.001989590462699158
MONDO_0013341,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0013354,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0013594,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0014074,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0014200,E26.0,E26,88.0,54.0,0.01750839607175259
MONDO_0014472,E85.0,E85,7.0,2.0,0.0013927133238894106
MONDO_0014487,D64.0,D64,11.0,5.0,0.0021885495089690736
MONDO_0015059,G31.0,G31,53.0,17.0,0.010544829452305537
MONDO_0015225,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0016227,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0016862,Q44.7,Q44,12.0,3.0,0.0023875085552389898
MONDO_0017928,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0018189,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0020164,Q10.3,Q10,6.0,4.0,0.0011937542776194949
MONDO_0020513,C62.9,C62,510.0,291.0,0.10146911359765706
EFO_0000640,C64,C64,1397.0,1063.0,0.27794578763907235
EFO_0000640,C64,C64,1397.0,1063.0,0.27794578763907235
EFO_0002499,C71.9,C71,360.0,242.0,0.07162525665716969
EFO_0002499,C71.9,C71,360.0,242.0,0.07162525665716969
EFO_0002500,C71.9,C71,360.0,242.0,0.07162525665716969
EFO_0002500,C71.9,C71,360.0,242.0,0.07162525665716969
MONDO_0013044,D58.8,D58,2.0,1.0,0.0003979180925398316
MONDO_0013968,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0014410,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0016910,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0017856,G25.3,G25,106.0,30.0,0.021089658904611074
MONDO_0018112,Q75.0,Q75,3.0,1.0,0.0005968771388097474
MONDO_0018973,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0019832,E23.0,E23,344.0,187.0,0.06844191191685103
EFO_0005846,D89.1,D89,20.0,10.0,0.003979180925398316
MONDO_0014157,E34.8,E34,40.0,25.0,0.007958361850796632
MONDO_0015637,G40.4,G40,1.0,0.0,0.0001989590462699158
MONDO_0015666,Q20.8,Q20,3.0,0.0,0.0005968771388097474
MONDO_0016089,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0016527,E74.4,E74,1.0,0.0,0.0001989590462699158
MONDO_0016672,D57.2,D57,6.0,3.0,0.0011937542776194949
MONDO_0017167,C07,C07,132.0,85.0,0.026262594107628885
MONDO_0017167,C08.1,C08,5.0,3.0,0.000994795231349579
MONDO_0017167,C08.0,C08,20.0,15.0,0.003979180925398316
MONDO_0017176,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0017728,E75.0,E75,1.0,0.0,0.0001989590462699158
MONDO_0018339,G60.8,G60,51.0,26.0,0.010146911359765707
MONDO_0018440,N25.8,N25,67.0,24.0,0.013330256100084358
MONDO_0019557,L93.2,L93,26.0,5.0,0.005172935203017811
MONDO_0020364,H18.5,H18,253.0,138.0,0.0503366387062887
EFO_0002628,O90.3,O90,3.0,3.0,0.0005968771388097474
EFO_0004991,G70.0,G70,232.0,137.0,0.04615849873462047
MONDO_0013327,E74.8,E74,5.0,0.0,0.000994795231349579
MONDO_0013885,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0015574,L93.2,L93,26.0,5.0,0.005172935203017811
MONDO_0015574,L93.0,L93,157.0,34.0,0.03123657026437678
MONDO_0015944,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016671,D57.2,D57,6.0,3.0,0.0011937542776194949
MONDO_0017102,Q04.8,Q04,8.0,3.0,0.0015916723701593265
MONDO_0017334,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0017749,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0018248,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0018492,C64,C64,1397.0,1063.0,0.27794578763907235
MONDO_0019149,E75.5,E75,23.0,8.0,0.004576058064208063
MONDO_0019738,D58.8,D58,2.0,1.0,0.0003979180925398316
MONDO_0019860,E03.1,E03,13.0,0.0,0.0025864676015089055
EFO_0005855,G47.4,G47,55.0,17.0,0.01094274754484537
MONDO_0013042,D58.8,D58,2.0,1.0,0.0003979180925398316
MONDO_0013865,I42.2,I42,219.0,86.0,0.04357203113311156
MONDO_0014313,D84.8,D84,15.0,5.0,0.002984385694048737
MONDO_0015520,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0015522,Q89.3,Q89,11.0,0.0,0.0021885495089690736
MONDO_0017147,I27.0,I27,570.0,119.0,0.113406656373852
MONDO_0019245,E75.6,E75,4.0,0.0,0.0007958361850796633
MONDO_0019245,E75.5,E75,23.0,8.0,0.004576058064208063
MONDO_0019928,Q98.1,Q98,1.0,0.0,0.0001989590462699158
MONDO_0021022,G25.8,G25,328.0,58.0,0.06525856717653239
MONDO_0014221,D55.2,D55,1.0,1.0,0.0001989590462699158
MONDO_0015470,I42.0,I42,797.0,398.0,0.1585703598771229
MONDO_0015699,D84.1,D84,21.0,10.0,0.004178139971668232
MONDO_0016420,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0016816,G31.8,G31,179.0,58.0,0.03561366928231493
MONDO_0017160,G31.0,G31,53.0,17.0,0.010544829452305537
MONDO_0017619,E74.3,E74,59.0,1.0,0.011738583729925032
MONDO_0017675,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0017892,Q74.3,Q74,6.0,2.0,0.0011937542776194949
MONDO_0020369,H21.2,H21,23.0,0.0,0.004576058064208063
MONDO_0013452,I73.8,I73,1.0,0.0,0.0001989590462699158
MONDO_0013740,Q87.5,Q87,2.0,0.0,0.0003979180925398316
MONDO_0014243,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0014464,G31.8,G31,179.0,58.0,0.03561366928231493
MONDO_0015427,G24.8,G24,27.0,17.0,0.005371894249287726
MONDO_0015497,Q38.3,Q38,5.0,5.0,0.000994795231349579
MONDO_0015668,K00.5,K00,1.0,0.0,0.0001989590462699158
MONDO_0015686,C48.2,C48,157.0,116.0,0.03123657026437678
MONDO_0016294,Q43.1,Q43,12.0,2.0,0.0023875085552389898
MONDO_0016342,I42.8,I42,105.0,66.0,0.02089069985834116
MONDO_0016750,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016817,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0017508,Q71.3,Q71,3.0,0.0,0.0005968771388097474
MONDO_0017567,Q74.2,Q74,30.0,19.0,0.005968771388097474
MONDO_0017621,E74.3,E74,59.0,1.0,0.011738583729925032
MONDO_0018971,Q75.0,Q75,3.0,1.0,0.0005968771388097474
MONDO_0019004,C64,C64,1397.0,1063.0,0.27794578763907235
MONDO_0019008,K83.1,K83,955.0,602.0,0.1900058891877696
MONDO_0019265,E16.1,E16,50.0,30.0,0.00994795231349579
MONDO_0024677,E16.8,E16,2.0,0.0,0.0003979180925398316
EFO_0002496,L57.0,L57,2435.0,1765.0,0.48446527766724495
MONDO_0013061,G71.8,G71,5.0,2.0,0.000994795231349579
MONDO_0014035,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0014180,Q81.0,Q81,2.0,0.0,0.0003979180925398316
MONDO_0014403,E34.3,E34,12.0,0.0,0.0023875085552389898
MONDO_0015626,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0018030,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0019026,Q78.2,Q78,10.0,2.0,0.001989590462699158
MONDO_0019405,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0019799,E80.2,E80,21.0,5.0,0.004178139971668232
MONDO_0020247,Q14.1,Q14,16.0,1.0,0.003183344740318653
EFO_0000203,D47.2,D47,299.0,101.0,0.059488754834704824
MONDO_0015748,Q38.6,Q38,14.0,7.0,0.002785426647778821
MONDO_0015902,E78.1,E78,75.0,3.0,0.014921928470243685
MONDO_0017452,Q72.8,Q72,5.0,2.0,0.000994795231349579
MONDO_0017685,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0019237,G40.8,G40,1.0,0.0,0.0001989590462699158
MONDO_0019636,Q60.0,Q60,109.0,0.0,0.021686536043420822
EFO_0004537,M32.8,M32,16.0,8.0,0.003183344740318653
MONDO_0013458,N15.8,N15,3.0,0.0,0.0005968771388097474
MONDO_0014471,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0015126,E31.0,E31,11.0,5.0,0.0021885495089690736
MONDO_0015126,E31.9,E31,1.0,0.0,0.0001989590462699158
MONDO_0015126,E31.8,E31,1.0,1.0,0.0001989590462699158
MONDO_0015454,E53.8,E53,887.0,91.0,0.17647667404141532
MONDO_0015494,G24.1,G24,9.0,6.0,0.0017906314164292422
MONDO_0015990,G24.5,G24,80.0,58.0,0.015916723701593263
MONDO_0015990,G24.4,G24,9.0,6.0,0.0017906314164292422
MONDO_0015990,G24.8,G24,27.0,17.0,0.005371894249287726
MONDO_0015990,G24.3,G24,32.0,22.0,0.006366689480637306
MONDO_0016319,G90.8,G90,15.0,8.0,0.002984385694048737
MONDO_0016907,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0018316,G04.8,G04,33.0,24.0,0.006565648526907221
MONDO_0018865,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0019141,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0019522,Q81.2,Q81,2.0,0.0,0.0003979180925398316
MONDO_0020070,G40.4,G40,1.0,0.0,0.0001989590462699158
MONDO_0020073,G40.4,G40,1.0,0.0,0.0001989590462699158
MONDO_0020363,H18.5,H18,253.0,138.0,0.0503366387062887
EFO_0000712,I64,I64,1304.0,1157.0,0.2594425963359702
EFO_0005687,M79.7,M79,749.0,23.0,0.14902032565616694
MONDO_0013268,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0013392,G11.2,G11,7.0,4.0,0.0013927133238894106
MONDO_0013711,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0015039,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0016059,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016239,E72.0,E72,11.0,3.0,0.0021885495089690736
MONDO_0016385,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016395,H26.0,H26,111.0,108.0,0.022084454135960652
MONDO_0016479,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0016638,D68.2,D68,365.0,17.0,0.07262005188851926
MONDO_0017306,E70.1,E70,1.0,0.0,0.0001989590462699158
MONDO_0017306,E70.0,E70,1.0,0.0,0.0001989590462699158
MONDO_0017913,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0017925,D84.8,D84,15.0,5.0,0.002984385694048737
MONDO_0018244,E66.8,E66,1779.0,484.0,0.35394814331418023
MONDO_0018282,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0018910,E70.3,E70,15.0,2.0,0.002984385694048737
MONDO_0020504,R82.1,R82,15.0,4.0,0.002984385694048737
EFO_0004708,C81.1,C81,156.0,72.0,0.031037611218106866
MONDO_0013659,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0015739,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0015776,Q77.3,Q77,7.0,2.0,0.0013927133238894106
MONDO_0016281,Q56.0,Q56,1.0,0.0,0.0001989590462699158
MONDO_0017554,Q74.0,Q74,25.0,13.0,0.004973976156747895
MONDO_0017571,Q87.3,Q87,2.0,1.0,0.0003979180925398316
MONDO_0017575,G71.3,G71,33.0,18.0,0.006565648526907221
MONDO_0017765,E83.4,E83,445.0,98.0,0.08853677559011253
MONDO_0017831,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0017836,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0018355,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0018943,G71.8,G71,5.0,2.0,0.000994795231349579
MONDO_0019027,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0019422,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0020256,H49.1,H49,61.0,37.0,0.012136501822464865
MONDO_0020343,G71.8,G71,5.0,2.0,0.000994795231349579
MONDO_0021476,D10.1,D10,173.0,165.0,0.034419915004695434
EFO_0000479,D47.3,D47,272.0,120.0,0.0541168605854171
EFO_0004208,L80,L80,75.0,6.0,0.014921928470243685
EFO_0004208,L80,L80,75.0,6.0,0.014921928470243685
MONDO_0013161,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0015521,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0015564,D47.4,D47,67.0,45.0,0.013330256100084358
MONDO_0016516,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0017380,D12.6,D12,2865.0,2263.0,0.5700176675633087
MONDO_0017509,Q72.8,Q72,5.0,2.0,0.000994795231349579
MONDO_0017774,E78.6,E78,27.0,0.0,0.005371894249287726
MONDO_0018094,E70.3,E70,15.0,2.0,0.002984385694048737
MONDO_0018330,C18.1,C18,132.0,82.0,0.026262594107628885
MONDO_0018394,N46,N46,75.0,64.0,0.014921928470243685
MONDO_0019131,Q79.8,Q79,24.0,8.0,0.0047750171104779795
MONDO_0019450,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0019667,Q77.7,Q77,9.0,5.0,0.0017906314164292422
MONDO_0020469,Q98.8,Q98,1.0,1.0,0.0001989590462699158
EFO_0003917,O60,O60,866.0,267.0,0.17229853406974707
MONDO_0015051,Q39.8,Q39,6.0,2.0,0.0011937542776194949
MONDO_0017915,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0018343,G72.3,G72,8.0,6.0,0.0015916723701593265
MONDO_0019011,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0019088,D47.9,D47,58.0,28.0,0.011539624683655117
MONDO_0019188,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0019503,Q13.8,Q13,4.0,2.0,0.0007958361850796633
MONDO_0019912,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0013579,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0014043,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0015091,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0015405,Q28.2,Q28,130.0,115.0,0.025864676015089055
MONDO_0015813,C83.0,C83,216.0,121.0,0.04297515399430181
MONDO_0016789,E74.4,E74,1.0,0.0,0.0001989590462699158
MONDO_0017521,Q74.8,Q74,5.0,2.0,0.000994795231349579
MONDO_0018106,E79.8,E79,2.0,0.0,0.0003979180925398316
MONDO_0018745,L10.2,L10,3.0,2.0,0.0005968771388097474
MONDO_0018745,L10.4,L10,12.0,0.0,0.0023875085552389898
MONDO_0019508,Q38.0,Q38,9.0,8.0,0.0017906314164292422
MONDO_0016460,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016587,I42.8,I42,105.0,66.0,0.02089069985834116
MONDO_0017824,D35.2,D35,463.0,335.0,0.09211803842297102
MONDO_0019075,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0020385,Q20.3,Q20,5.0,3.0,0.000994795231349579
MONDO_0020467,Q96.3,Q96,2.0,0.0,0.0003979180925398316
MONDO_0020468,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0013239,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0015781,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0016649,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0016811,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0017009,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0017558,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0017704,G40.1,G40,1.0,0.0,0.0001989590462699158
MONDO_0017934,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0018582,E16.3,E16,1.0,0.0,0.0001989590462699158
MONDO_0019391,D61.0,D61,19.0,8.0,0.0037802218791284
MONDO_0019571,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0020065,G24.1,G24,9.0,6.0,0.0017906314164292422
MONDO_0020303,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0020346,G70.2,G70,3.0,3.0,0.0005968771388097474
MONDO_0013918,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0016697,D43.2,D43,159.0,100.0,0.03163448835691661
MONDO_0016902,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0019465,C83.0,C83,216.0,121.0,0.04297515399430181
MONDO_0019568,Q79.6,Q79,71.0,15.0,0.014126092285164022
MONDO_0019797,Q75.4,Q75,6.0,2.0,0.0011937542776194949
MONDO_0043209,E70.3,E70,15.0,2.0,0.002984385694048737
EFO_0002893,C58,C58,14.0,2.0,0.002785426647778821
MONDO_0015546,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0015630,D68.0,D68,135.0,49.0,0.026859471246438633
MONDO_0015775,Q77.3,Q77,7.0,2.0,0.0013927133238894106
MONDO_0016047,H44.1,H44,40.0,27.0,0.007958361850796632
MONDO_0016047,H44.0,H44,100.0,53.0,0.01989590462699158
MONDO_0016175,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0016456,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0016700,C71.9,C71,360.0,242.0,0.07162525665716969
MONDO_0017110,Q03.1,Q03,3.0,0.0,0.0005968771388097474
MONDO_0017116,Q03.8,Q03,1.0,0.0,0.0001989590462699158
MONDO_0017185,E16.1,E16,50.0,30.0,0.00994795231349579
MONDO_0017516,Q71.8,Q71,2.0,0.0,0.0003979180925398316
MONDO_0017681,Q82.8,Q82,86.0,52.0,0.01711047797921276
MONDO_0017894,C92.0,C92,375.0,320.0,0.07460964235121842
MONDO_0018379,M87.8,M87,19.0,11.0,0.0037802218791284
MONDO_0019258,E70.1,E70,1.0,0.0,0.0001989590462699158
MONDO_0019388,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0100062,G40.3,G40,1.0,0.0,0.0001989590462699158
EFO_0000255,C86.5,C86,18.0,18.0,0.0035812628328584844
EFO_0000255,C86.5,C86,18.0,18.0,0.0035812628328584844
MONDO_0014198,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0014803,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0016323,J84.8,J84,61.0,31.0,0.012136501822464865
MONDO_0017507,Q71.3,Q71,3.0,0.0,0.0005968771388097474
MONDO_0017900,D84.8,D84,15.0,5.0,0.002984385694048737
MONDO_0018190,G12.1,G12,5.0,2.0,0.000994795231349579
MONDO_0018281,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0018877,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0019351,Q05.6,Q05,1.0,0.0,0.0001989590462699158
MONDO_0019351,Q05.0,Q05,1.0,1.0,0.0001989590462699158
MONDO_0019351,Q05.4,Q05,16.0,1.0,0.003183344740318653
MONDO_0019351,Q05.7,Q05,10.0,2.0,0.001989590462699158
MONDO_0019351,Q05.8,Q05,4.0,1.0,0.0007958361850796633
MONDO_0019351,Q05.1,Q05,1.0,0.0,0.0001989590462699158
MONDO_0019351,Q05.5,Q05,1.0,1.0,0.0001989590462699158
MONDO_0019351,Q05.9,Q05,162.0,13.0,0.03223136549572636
MONDO_0020384,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0020506,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0020561,C49.9,C49,66.0,28.0,0.013131297053814443
MONDO_0024574,D68.0,D68,135.0,49.0,0.026859471246438633
EFO_0000736,C49.9,C49,66.0,28.0,0.013131297053814443
EFO_0000736,C49.9,C49,66.0,28.0,0.013131297053814443
MONDO_0013487,D84.1,D84,21.0,10.0,0.004178139971668232
MONDO_0014070,E70.3,E70,15.0,2.0,0.002984385694048737
MONDO_0015821,C84.0,C84,81.0,22.0,0.01611568274786318
MONDO_0016127,M60.0,M60,30.0,21.0,0.005968771388097474
MONDO_0016490,D58.2,D58,25.0,6.0,0.004973976156747895
MONDO_0016843,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0017057,D69.4,D69,46.0,17.0,0.009152116128416127
MONDO_0017570,D84.8,D84,15.0,5.0,0.002984385694048737
MONDO_0017979,D47.9,D47,58.0,28.0,0.011539624683655117
MONDO_0018127,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0018283,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0019911,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0019915,Q99.8,Q99,20.0,4.0,0.003979180925398316
EFO_0000702,C34.9,C34,1872.0,1332.0,0.37245133461728236
EFO_0000702,C34.9,C34,1872.0,1332.0,0.37245133461728236
MONDO_0014271,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0014831,E88.1,E88,25.0,11.0,0.004973976156747895
MONDO_0015867,C52,C52,51.0,38.0,0.010146911359765707
MONDO_0016365,E21.0,E21,570.0,338.0,0.113406656373852
MONDO_0016550,Q62.2,Q62,9.0,3.0,0.0017906314164292422
MONDO_0016646,H47.2,H47,70.0,9.0,0.013927133238894105
MONDO_0019448,G40.3,G40,1.0,0.0,0.0001989590462699158
MONDO_0019609,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0020485,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0021005,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0100339,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0013404,E72.1,E72,11.0,1.0,0.0021885495089690736
MONDO_0015089,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0016309,E75.2,E75,13.0,7.0,0.0025864676015089055
MONDO_0017058,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0018101,E83.4,E83,445.0,98.0,0.08853677559011253
MONDO_0018844,Q64.4,Q64,12.0,9.0,0.0023875085552389898
MONDO_0019262,E75.4,E75,1.0,0.0,0.0001989590462699158
MONDO_0019588,H90.3,H90,198.0,40.0,0.03939389116144333
MONDO_0013111,K72.0,K72,141.0,80.0,0.028053225524058128
MONDO_0015337,Q75.0,Q75,3.0,1.0,0.0005968771388097474
MONDO_0015794,G71.2,G71,7.0,2.0,0.0013927133238894106
MONDO_0016794,G71.3,G71,33.0,18.0,0.006565648526907221
MONDO_0017184,E16.1,E16,50.0,30.0,0.00994795231349579
MONDO_0018143,E74.4,E74,1.0,0.0,0.0001989590462699158
MONDO_0019338,D86.9,D86,479.0,106.0,0.09530138316328966
MONDO_0019338,D86.0,D86,268.0,108.0,0.05332102440033743
MONDO_0019338,D86.1,D86,70.0,62.0,0.013927133238894105
MONDO_0019338,D86.2,D86,22.0,10.0,0.004377099017938147
MONDO_0019338,D86.8,D86,104.0,42.0,0.020691740812071244
MONDO_0019338,D86.3,D86,38.0,19.0,0.0075604437582568
MONDO_0019438,E85.9,E85,67.0,39.0,0.013330256100084358
MONDO_0019499,Q96.3,Q96,2.0,0.0,0.0003979180925398316
MONDO_0019499,Q96.9,Q96,29.0,2.0,0.0057698123418275585
