Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
cannabis,1945,1950,1.77,0.37,0.04,0.04,5,70,42,59.98,191.98,16.74,2020,1992,0.16,0.1,8.58
cerebellum,1945,1950,13.12,0.98,0.04,0.04,5,70,42,333.98,452.86,191.37,1997,2020,0.09,0.09,21.88
cholesterol,1945,1950,39.35,1.0,0.05,0.05,5,70,42,1005.54,1164.21,803.74,2005,2020,0.11,0.09,94.14
cocaine,1945,1950,1.42,0.95,0.02,0.02,5,70,42,159.47,254.05,60.74,1992,1983,0.13,0.03,16.07
coral,1945,1950,1.42,0.92,0.09,0.08,5,70,42,60.54,143.89,13.12,2017,1985,0.07,0.02,3.78
crypto,0,1955,0.0,0.0,,,1955,65,42,0.88,2.14,0.0,2020,1979,0.09,,0.06
dopamine,1948,1953,41.12,1.0,0.06,0.06,5,67,42,662.34,849.64,343.35,1984,2020,0.06,0.15,76.53
epigenetics,1958,1964,0.71,1.0,0.1,0.09,6,56,42,240.41,841.22,7.8,2019,1979,0.28,0.09,72.75
epinephrine,1945,1950,19.14,1.0,0.05,0.04,5,70,42,274.28,550.82,91.38,1984,2020,0.04,0.11,17.3
epstein-barr,1968,1973,5.32,0.62,0.08,0.07,5,47,42,136.42,188.46,72.31,2001,1979,0.16,0.07,15.76
ethnic differences,1945,1950,1.06,1.0,0.02,0.02,5,70,42,343.06,568.4,71.96,2011,1979,0.06,0.02,23.05
eugenics,1945,1950,1.06,-7.68,0.04,0.04,5,70,42,21.46,41.63,9.48,1993,2020,0.07,0.15,1.45
fMRI,1947,1964,0.0,1.0,0.0,0.0,17,56,42,1866.14,3104.81,4.25,2013,1979,0.11,0.0,233.59
gene therapy,1945,1950,14.89,0.98,0.22,0.18,5,70,42,1158.94,2286.22,78.39,2017,1980,0.23,0.14,307.28
genetic engineering,1945,1950,1.77,0.6,0.06,0.05,5,70,42,920.99,1691.2,32.61,2000,1979,0.13,0.05,122.11
glutamate,1945,1950,11.34,0.9,0.03,0.03,5,70,42,602.82,838.17,399.16,1998,2020,0.11,0.1,52.96
glycine,1945,1950,4.96,1.0,0.02,0.02,5,70,42,306.38,404.94,206.87,1995,2020,0.03,0.06,12.94
hippocampus,1946,1951,4.25,0.92,0.02,0.02,5,69,42,579.09,743.38,222.26,1998,1979,0.08,0.02,36.67
homeopathy,1945,1950,0.0,1.0,0.0,0.0,5,70,42,17.83,36.04,3.9,1999,1979,0.2,0.0,2.49
hydrophonics,1945,1951,0.0,1.0,0.0,0.0,6,69,42,14.02,36.07,1.06,2020,1981,0.01,0.0,0.2
hypothalamus,1945,1950,57.07,1.0,0.06,0.06,5,70,42,613.36,1026.92,220.23,1985,2020,0.06,0.19,68.32
inflammatory,1945,1950,40.06,1.0,0.05,0.05,5,70,42,2481.27,4304.35,785.53,2020,1979,0.19,0.05,453.67
influenza,1945,1950,19.85,1.0,0.05,0.05,5,70,42,408.5,720.15,313.71,2010,1994,0.09,0.09,40.81
junk dna,1957,1976,2.13,1.0,0.11,0.1,19,44,42,272.87,515.9,21.62,2001,1979,0.04,0.1,10.37
language model,1949,1967,3.9,0.98,0.15,0.13,18,53,42,152.14,318.17,30.48,2019,1979,0.09,0.13,22.37
lateral ventricles,1946,1951,0.0,0.99,0.0,0.0,5,69,42,39.99,51.35,27.33,1990,2019,0.05,0.07,2.24
lipid,1945,1950,248.85,1.0,0.06,0.05,5,70,42,5048.26,5470.6,3817.07,1991,2020,0.09,0.11,466.98
lithium,1945,1950,14.53,0.98,0.06,0.06,5,70,42,195.6,273.71,140.08,2019,1997,0.07,0.13,17.46
machine learning,1957,1968,0.0,-40.0,0.0,0.0,11,52,42,111.96,1113.56,0.35,2020,1981,0.09,1.0,8.21
mass spectrometry,1947,1952,4.61,0.58,0.02,0.02,5,68,42,1104.34,1936.78,305.92,2011,1979,0.04,0.02,43.38
microglia,1949,1954,0.0,-4.55,0.0,0.0,5,66,42,103.21,271.05,3.23,2020,1983,0.17,0.0,15.25
mouse,1945,1950,230.77,1.0,0.05,0.05,5,70,42,6183.18,7170.06,4914.18,2010,1979,0.07,0.05,406.62
multiple sclerosis,1945,1950,8.51,1.0,0.05,0.05,5,70,42,287.43,429.02,168.38,2019,1979,0.18,0.05,52.98
natural medicine,1945,1950,5.32,1.0,0.1,0.09,5,70,42,837.31,3138.46,58.14,2018,1979,0.14,0.09,149.78
ncRNA,1953,1975,0.35,0.71,0.08,0.07,22,45,42,564.88,1610.04,4.96,2019,1979,0.09,0.07,54.06
neocortex,1946,1951,0.71,1.0,0.02,0.02,5,69,42,65.81,106.09,30.84,1999,1979,0.1,0.02,6.4
neural networks,1958,1968,0.0,-19.26,0.0,0.0,10,52,42,185.99,750.58,2.82,2020,1981,0.07,0.0,18.83
neuropeptide,1945,1950,126.9,1.0,0.08,0.07,5,70,42,1475.96,2407.52,395.6,1986,2020,0.07,0.14,148.32
opioids,1945,1950,19.5,0.96,0.04,0.04,5,70,42,624.0,781.73,499.41,1986,2011,0.06,0.14,62.42
