ICD10,f41202,All
L732,195,234
E299,10,11
T602,1,1
M532,7,10
M2181,0,2
M9492,0,1
K007,2,2
T139,7,12
V865,0,16
M8665,11,17
Y711,0,11
W335,0,1
O747,0,3
R040,2277,2891
K862,191,264
D105,23,25
W253,0,1
M1980,0,2
Y475,0,1
C467,1,6
A369,0,3
B059,2,2
Q782,2,10
M8717,1,1
F117,1,1
A329,0,3
Z830,0,2
M0085,1,2
M6654,5,8
X584,0,1
W946,0,1
Z221,0,42
V9331,0,1
F220,112,229
S109,54,105
S2701,9,13
M0593,10,14
W189,0,575
Q999,0,4
M6590,13,37
W110,0,703
Q394,28,47
G631,2,6
X420,0,72
Z598,0,52
I731,5,14
R879,57,61
J011,12,15
G122,174,254
V864,0,1
D693,282,485
L251,7,8
M5402,1,2
J940,1,4
G430,23,38
M1599,0,25
S423,52,67
S004,15,41
S898,36,56
S501,6,27
I320,0,2
W506,0,1
E214,5,13
W442,0,9
W028,0,121
M2468,3,5
C621,32,129
M4023,0,1
A938,1,1
M8908,3,4
I451,90,1837
D377,167,210
Z452,1299,1825
M2500,1,1
A327,4,4
B448,3,9
M148,0,19
Z764,0,1
M7099,0,1
S908,24,62
G319,49,456
W282,0,1
K108,133,220
M7192,4,8
M5405,1,1
Z580,0,2
K629,334,481
M0500,2,5
D569,2,49
M0825,0,1
K810,890,985
M1994,764,1380
C963,1,1
Z654,0,2
O421,161,355
D469,226,314
N890,10,14
M6525,3,3
T370,0,4
F062,12,13
V879,0,2
M4149,3,8
I342,22,54
A288,0,1
S659,3,4
T839,34,43
Z359,16,60
O471,791,826
O881,1,1
W399,0,3
M212,34,57
Z609,2,24
Q824,0,1
S008,489,1168
Z714,0,26
S480,1,1
G952,129,299
C171,22,35
R72,29,333
A280,5,15
R823,3,4
X770,0,2
W390,0,2
L752,0,1
Q288,3,5
N893,11,15
J018,13,16
A692,23,40
X644,0,2
T384,1,2
K430,272,315
X450,0,51
S980,1,1
M6259,5,23
V299,0,96
O300,97,326
M968,65,104
M7677,9,13
M0806,1,1
Z114,2,73
K046,207,247
R858,16,29
Z616,0,11
W2709,0,2
M7285,1,2
M0684,0,1
M9480,0,2
X159,0,4
R160,25,288
S5311,1,1
M5137,16,24
N914,3,3
N859,194,279
I010,1,2
M2362,4,5
Z131,266,330
V701,0,1
M7066,3,4
S759,3,3
J638,1,1
C474,0,1
Y485,0,2
X678,0,8
N042,12,21
M2582,7,10
Q749,0,2
K800,1714,1813
T433,107,162
Q030,5,15
M8650,0,2
Q265,0,1
M8321,0,1
X479,0,20
K033,12,20
K761,2,20
M6225,1,3
Q055,1,1
N429,314,489
E610,1,1
C859,914,1277
M2414,5,7
D143,34,42
M8783,2,2
M2303,17,43
T455,31,56
I712,103,294
B343,0,7
V99,0,35
R651,0,44
W318,0,25
M2185,6,15
S6240,51,67
I255,80,271
R35,2574,4788
I899,40,60
W226,0,33
W2062,0,1
I312,2,6
K602,1467,2059
B953,0,163
W249,0,19
C799,10,290
R238,52,256
W210,0,9
M240,43,62
T795,14,24
N158,0,3
K820,13,22
Z800,457,9150
F59,1,2
E807,0,8
W491,0,1
D803,9,20
L104,0,12
M468,2,5
M088,0,1
K414,11,11
Y577,0,5
T880,0,1
Q179,1,3
H669,388,596
Z463,61,72
A319,8,21
S1290,29,43
S542,10,32
F28,2,6
Y849,0,41
Z867,19,19631
Y912,0,4
D330,23,31
C693,124,148
M4312,15,40
S022,156,172
M7697,2,3
Q211,392,572
F329,670,13850
X675,0,1
S068,18,34
D414,670,1390
M472,67,95
L299,39,360
M0600,132,222
L039,238,417
M4649,6,12
N700,17,32
M7046,122,129
S433,6,8
S2730,5,83
Q129,3,3
R890,1,8
M6530,4,4
X635,0,1
Q971,0,3
M965,0,10
C630,0,1
S959,0,1
M8495,1,2
I860,2,2
Z462,58,128
L819,198,226
Q719,0,5
F419,367,5037
M4634,8,10
W275,0,5
Z015,148,203
Y492,0,64
G638,0,2
I288,10,39
N029,557,638
H530,20,640
G248,17,27
E144,6,39
Y490,0,27
S9200,311,357
C751,12,24
F113,9,19
N020,11,16
M8922,1,1
Y712,0,25
M4619,3,10
E748,0,5
K142,7,7
C866,1,1
M0186,0,1
O649,7,16
I742,94,135
N939,1398,1895
E617,1,3
T930,0,63
K635,9810,13657
H588,17,117
V020,0,4
M058,14,23
C844,52,86
Z092,1610,1773
T183,6,12
S040,1,1
H221,1,26
Z081,89,97
I7021,34,43
D461,10,16
N510,0,2
V495,0,27
Y0830,0,1
Y521,0,78
T843,89,111
L506,2,2
V335,0,1
K920,1540,2366
M7711,3,3
V041,0,40
Q751,2,2
M5417,77,109
S314,38,45
M1123,5,6
X219,0,2
L562,1,1
B201,12,12
M4850,6,32
Z506,0,1
L598,14,21
C343,489,742
S021,31,64
I241,20,32
H340,1,1
E45,1,1
Q396,11,29
M9436,0,7
M4024,10,51
S640,54,94
O921,1,30
X502,0,25
K746,229,660
T028,6,13
O320,89,127
M6641,6,14
B518,2,2
M8492,2,2
A58,1,1
S570,0,1
F669,0,1
Y562,0,3
M8424,2,2
G110,0,1
Z469,2,6
T130,39,70
Z653,0,13
W1709,0,1
A403,27,69
R452,9,68
H208,17,84
Z752,0,60
W2022,0,2
W0628,0,1
M479,175,1072
X478,0,7
Z466,4686,5424
Q766,2,5
S660,76,107
M8955,13,43
C823,21,24
Q794,0,1
D033,292,461
V580,0,2
T815,99,160
V949,0,5
R42,2542,5771
Q520,2,3
H839,21,25
M1229,1,1
C440,362,552
M4797,137,225
N141,8,33
M8952,1,1
A920,1,1
M6086,0,1
Z658,0,20
Q838,28,31
F438,4,9
R391,1158,2270
X840,0,8
N802,24,182
Z718,55,623
Q163,1,2
Z740,13,443
Y859,0,121
Z603,0,3
K090,141,195
M6543,144,156
G628,156,246
T797,9,83
M4696,58,163
W1199,0,6
L590,0,3
E319,0,1
O308,1,1
H218,20,158
Z528,33,36
I780,59,94
S118,10,15
J122,7,15
G238,2,18
D319,3,6
Y425,0,423
M5491,3,3
N894,5,8
W206,0,69
O85,28,48
I719,55,288
T484,2,4
T232,45,74
M7637,0,1
M8597,2,5
M6582,1,3
S202,65,157
C383,8,16
R049,2,4
R33,3367,8093
G419,80,120
Y846,0,441
K253,221,328
X399,0,6
M4616,2,3
X4009,0,1
Y199,0,1
I062,4,6
R520,22,188
W2699,0,2
M2383,76,153
D596,0,2
G533,0,1
S000,209,402
J386,34,43
D752,45,104
C721,3,5
E870,21,310
T144,3,10
C004,1,3
M063,26,31
T138,2,3
S9221,0,1
I711,9,13
C889,0,4
X851,0,1
J61,6,220
M6643,1,1
K612,14,19
M7187,4,5
S223,68,139
I675,2,3
B208,9,10
M8413,115,129
M8400,1,2
Z205,1,5
N017,1,2
B083,1,3
W106,0,13
M7737,15,20
M4326,4,13
R521,103,897
W400,0,7
Z574,0,5
M2595,24,34
M4396,1,4
Q969,2,29
M8099,25,52
M2563,18,25
R064,157,341
Z629,0,2
T594,5,6
T847,122,144
F719,0,2
M6540,2,2
B850,0,4
W163,0,5
G060,41,55
M1383,5,6
O479,314,328
D447,18,30
G402,156,322
I051,30,70
H660,21,25
M4728,3,3
M8700,0,1
M6796,1,1
Q850,61,121
M1098,0,5
G958,70,138
Q987,0,1
T253,17,21
T980,0,4
L253,3,4
M2576,92,769
Y082,0,1
V917,0,2
Q861,0,1
Q432,2,2
Z901,4,3052
M9020,0,3
V855,0,1
M2556,2227,2618
I650,19,52
M819,594,3574
O912,8,15
A488,5,25
M7918,87,109
M7926,27,49
S378,1,2
M939,59,142
Z316,11,11
J986,22,59
H680,1,4
Z725,0,6
D421,4,6
S409,53,203
R041,12,16
T940,0,15
S132,0,2
K451,5,6
K280,3,3
K871,0,3
A449,0,1
Z732,0,1
L604,0,1
R849,5,6
M925,7,14
S5280,99,146
Q621,6,9
M7981,8,11
S624,7,9
M4394,0,1
O345,4,14
N811,3667,5720
M4313,2,5
A311,0,1
F443,1,2
S600,15,44
N134,13,216
H020,750,788
S2790,1,3
W932,0,1
X048,0,3
J384,143,202
J410,1,21
K259,2265,4446
V726,0,1
I516,15,77
O814,91,135
M2540,12,35
G579,15,28
D225,1319,1666
T003,4,32
G547,0,4
M6150,0,1
W948,0,32
F519,1,3
L892,6,110
B902,1,6
R590,1095,2184
S430,366,445
S912,8,15
M144,0,5
M0605,7,8
Q222,1,3
Z125,40,114
K563,21,28
Y568,0,2
Y768,0,4
X824,0,6
C189,898,1290
Q677,1,2
M6268,7,10
V645,0,6
M9488,117,142
X659,0,529
E250,9,19
B957,0,594
N926,1472,2066
I069,3,9
M5439,256,719
M8984,19,22
N945,8,54
M7291,1,2
M224,245,521
V586,0,1
A858,1,3
D021,1,2
E834,98,445
M401,0,2
I723,49,112
R203,5,28
V635,0,7
E858,9,13
K751,0,2
X303,0,1
V535,0,9
V811,0,2
Q539,11,16
O470,235,254
X419,0,175
W457,0,1
H800,12,14
V449,0,3
Q132,0,1
S091,2,4
Z097,94,105
L985,16,21
F09,5,12
A227,0,1
S2200,270,402
S334,4,5
G372,6,6
M053,1,2
K116,111,116
O861,11,27
F800,1,2
T07,2,4
L708,1,3
N710,20,30
M2483,16,25
S800,34,135
Y071,0,1
M8934,4,5
A821,0,1
V926,0,2
X412,0,8
V785,0,1
M1921,14,18
R103,6915,9206
Z736,0,36
I848,3359,4259
N836,9,20
N144,0,2
S432,3,7
Q180,86,91
S903,8,31
C424,0,7
S233,0,1
X1298,0,1
J950,50,105
I351,280,862
S0640,54,78
H802,5,5
Z659,0,10
R201,8,31
I792,4,106
V959,0,4
X5099,0,3
Q418,1,1
O280,5,9
K758,96,217
V271,0,1
R826,1,3
F204,5,7
N183,30,2538
G910,23,42
L409,286,1892
M8666,15,24
M4019,0,3
D417,0,1
J108,3,4
M958,5,9
F54,4,5
R839,0,3
T375,0,3
B952,0,115
I456,133,274
Q399,3,9
C680,20,34
N398,449,620
A167,0,1
M028,1,5
L440,8,10
H309,12,32
R480,2,13
G811,19,41
I749,29,66
W3192,0,1
J47,631,2282
K220,162,203
Q244,1,8
A719,0,1
Z357,2,7
M0598,2,3
Q453,2,15
M8407,43,51
M0896,1,1
E761,0,1
C832,3,8
G608,26,51
S763,9,11
C448,5,148
A392,5,5
G371,2,2
O282,0,1
M4803,2,6
X596,0,7
W2801,0,1
R829,26,174
M7911,24,36
M620,1,2
B652,1,1
G311,0,3
N801,552,1193
E340,15,52
X700,0,13
M8586,5,16
S3631,0,1
A78,0,1
S0661,1,2
V893,0,3
E783,0,10
M8565,6,63
K098,87,101
M160,787,912
I801,291,398
H612,224,412
W1308,0,1
M9195,1,1
K1329,1,1
O309,0,2
M9210,0,1
X452,0,1
V305,0,1
B588,3,4
H024,1330,1617
S407,2,6
H220,0,6
F32,4,4
M4691,1,2
M8790,0,3
M0641,2,3
O619,12,23
X304,0,1
E212,3,16
Q451,1,1
I847,226,279
O039,810,815
M2588,10,34
H185,138,253
T868,122,189
M2346,18,27
Z391,121,209
C848,10,16
V295,0,3
Z890,1,67
M000,4,4
B589,7,13
R572,11,179
A199,8,9
V1899,0,2
N946,434,1799
N054,2,3
E100,26,49
N211,61,70
M2385,2,4
C809,88,282
H110,279,309
A067,0,1
T280,3,5
I251,17829,22508
D382,7,7
W015,0,349
M6605,1,1
J302,1,12
M2575,13,331
P201,1,1
E838,0,2
X139,0,1
M8130,0,18
G410,22,36
X108,0,3
R91,1705,3124
R070,360,461
C168,15,21
D442,4,6
N482,101,143
D473,120,272
Z814,0,1
Y440,0,24
S2250,30,61
M4305,0,2
Z561,0,1
T201,31,43
C021,85,114
M7792,11,19
Z008,21,21
M5464,111,159
I491,45,143
D072,34,53
X694,0,1
L920,62,75
O683,21,54
N763,46,58
S540,14,38
H922,9,18
V435,0,557
B967,0,24
H164,7,13
M2475,9,32
A190,1,1
G418,4,9
T451,28,49
M2176,6,23
Z588,0,40
C439,84,246
F063,8,10
D809,9,16
C163,41,60
K604,34,49
M7958,21,26
M1191,1,2
M811,1,2
M9078,12,111
M6211,4,18
Q763,2,6
Y403,0,66
M5324,1,1
H958,14,15
G360,12,17
X194,0,1
K032,3,6
M8616,0,1
Z962,2,105
R635,17,84
X692,0,4
D45,370,503
J22,5161,9310
M951,0,10
M0025,2,2
K315,80,188
T501,1,8
B839,1,6
F440,6,12
M7113,4,4
F502,3,26
Z843,0,5
F228,3,6
O285,1,5
R833,0,1
O870,3,17
O13,390,604
F100,480,2092
V245,0,1
K580,317,548
V852,0,2
I271,1,3
M4145,2,3
I850,101,115
M6125,0,2
X499,0,116
L812,24,32
C109,63,84
M0703,0,1
M2581,35,64
M8506,1,1
M927,28,43
M6226,4,9
Z925,0,8
N485,25,44
W782,0,23
T438,3,6
Q510,0,3
M0690,609,1277
S7211,2,5
Y792,0,115
C961,2,4
M990,0,1
X4948,0,1
V170,0,23
G562,1159,1392
R947,23,31
N039,46,1059
M661,1,1
Q771,0,1
I741,13,26
M702,269,311
F259,80,136
V973,0,1
F82,1,5
M511,3585,3970
Z904,0,7061
F445,20,33
M8403,145,162
M1929,0,7
B500,0,1
F89,0,4
S0651,5,6
M2434,6,8
V109,0,3
D090,192,801
J041,23,44
F538,0,1
M790,69,463
G242,0,2
T473,0,1
C951,4,12
Z303,99,148
K571,129,439
X100,0,50
V193,0,55
M1096,105,175
M5406,3,5
S4271,4,4
G403,321,518
F605,6,22
M5312,0,1
M4956,5,29
M9076,2,11
M4884,0,1
W0122,0,1
E788,0,136
T012,11,31
F620,1,2
X900,0,1
B965,0,1061
I447,175,2085
A064,10,11
H319,9,13
Q754,2,6
X641,0,1
N840,7210,9685
C321,63,76
L631,0,4
I633,194,201
S910,21,57
Y288,0,5
M8198,83,333
G031,3,6
Y552,0,2
A921,0,1
H040,11,15
W0130,0,2
R413,237,719
A058,1,3
D444,28,34
C767,5,12
D380,27,29
R067,2,6
Q057,2,10
C884,22,30
T858,458,580
W2288,0,1
C671,88,100
E538,91,887
E878,31,144
M7669,3,3
W011,0,30
E785,20,6289
C821,50,93
L021,150,173
Q324,0,1
S827,9,9
V279,0,4
M318,9,14
S757,1,1
J012,10,18
H432,2,35
I020,0,1
W862,0,1
V599,0,5
I528,0,1
F103,541,857
M4888,9,9
Z470,3584,3875
M0640,43,59
B880,2,6
L131,1,4
H543,0,8
M163,125,136
M4792,93,768
M0680,4,12
T862,6,9
N902,5,6
E509,1,5
W009,0,668
O754,1,6
M768,27,36
C723,0,1
F010,1,3
L988,834,1116
T264,2,3
G212,0,3
M5488,6,11
L259,9,34
M4154,0,6
K36,94,109
N645,506,575
G519,30,95
M762,0,1
T470,3,15
N738,11,17
S830,10,13
W854,0,1
X009,0,1
S449,1,4
R220,265,412
N001,1,4
T252,12,22
R411,8,43
S3720,3,16
M411,1,4
A011,4,4
M7185,2,4
D165,34,34
D510,55,884
V243,0,1
M259,39,50
M508,8,23
M4327,3,10
X715,0,2
J343,615,2129
K741,3,14
N045,5,6
N983,2,2
M8982,0,2
V162,0,1
M812,1,8
Y455,0,43
M0519,3,11
H490,54,113
N641,127,240
D732,1,4
T145,1,4
M7904,2,6
C461,0,3
H651,15,17
X858,0,2
K919,20,37
M4791,0,3
O718,21,70
Z038,4910,7349
O811,3,3
M6253,0,1
S762,6,7
T316,0,1
S837,15,21
I209,6167,19134
M0611,1,1
B003,11,11
X654,0,5
I831,345,499
N303,200,367
M5483,2,2
D733,4,17
M729,7,9
D480,94,125
N048,5,10
R820,0,1
K819,802,926
I350,937,2050
H182,26,63
M0616,1,1
G521,6,11
L232,1,2
O631,1136,1739
T691,1,5
N829,17,23
O648,15,30
N308,402,724
T821,215,258
M895,5,13
J684,0,4
I240,121,251
L500,53,102
M7129,3,4
D486,129,170
X638,0,1
Q788,0,3
M2186,9,14
I393,0,1
Z524,243,247
M1304,0,11
Q330,0,1
N603,198,327
M7974,1,1
H439,50,67
L669,30,31
H209,74,294
S399,245,346
H654,112,129
M7747,99,217
G589,99,195
I607,39,41
O369,208,249
M931,9,13
F132,4,25
M0094,26,31
C069,16,31
C548,3,3
M1280,4,6
G942,5,38
S380,2,4
M8448,23,54
X864,0,7
S7610,4,4
N399,679,789
S521,66,85
K144,2,2
K650,280,546
Q934,1,1
K285,1,1
Q711,0,1
Z122,20,34
F155,1,1
Z950,0,2735
W152,0,1
K822,30,69
M2127,39,69
M1039,1,9
A498,46,272
M4146,1,1
X128,0,3
G809,17,150
S5270,60,70
M1199,1,3
M4794,15,45
Z840,0,17
I7090,5,14
O322,83,122
J151,68,110
M8510,0,2
X4909,0,1
F009,15,225
E560,1,3
D688,32,234
M8890,6,266
B180,3,7
M8787,3,3
M5420,4,5
M725,17,24
T223,30,48
Q552,11,22
W809,0,19
Q519,2,5
M2442,5,6
F152,0,2
D356,4,4
D734,5,20
N96,24,33
M8140,2,164
C472,4,5
D581,1,6
M6586,20,66
L872,3,4
J942,33,105
M001,1,1
Y511,0,2
L022,912,1019
X189,0,3
I099,7,49
Z301,297,1251
T425,1,5
W238,0,97
F790,0,1
W242,0,1
Q792,1,1
N856,25,96
T494,5,6
Y569,0,1
S797,1,1
K859,314,432
A072,2,8
R824,2,31
M231,8,14
J955,9,11
E114,51,632
B169,44,124
Y835,0,139
D681,6,32
B368,0,4
M412,3,6
C433,200,313
M2596,94,116
Y285,0,1
M1187,0,1
W1299,0,1
G819,497,1853
K149,277,304
M0839,0,1
V737,0,1
W1092,0,1
I426,23,70
Z999,0,10
O665,35,238
T354,0,1
I208,268,1098
L989,4443,5013
M9495,1,1
Z348,513,701
S279,1,2
S962,1,1
Q804,0,1
O694,1,6
Y529,0,15
S444,0,1
R53,1280,3571
D300,65,77
O350,4,21
C824,10,13
M5388,2,5
D001,19,42
M0001,6,6
X789,0,103
Z572,0,356
X400,0,153
H431,356,609
T282,2,3
M2115,3,10
E724,0,1
M002,1,1
N162,0,2
M1190,4,4
M4314,3,6
M7740,0,1
M2326,1026,1337
M8618,3,4
K623,806,1256
S925,22,33
I713,92,100
T814,3398,5438
M8641,1,1
T857,491,689
X230,0,42
S609,65,174
B99,37,101
W237,0,7
O034,1008,1014
M5327,4,10
G474,17,55
M5416,339,432
M5484,15,17
L871,2,4
M2183,8,10
X378,0,1
B202,3,4
S207,3,7
B900,0,6
W119,0,749
L302,2,2
W203,0,7
X318,0,8
G453,73,147
M7112,29,35
S8220,395,431
G131,2,8
M5482,4,4
W839,0,2
M8905,4,5
M2546,487,953
T111,8,23
M2496,6,8
H268,381,525
Y762,0,52
S932,3,12
T217,1,1
W499,0,80
C028,6,7
K804,221,335
T983,1,98
Z046,0,18
M4780,141,399
M4332,1,2
X232,0,1
X476,0,6
Q046,19,22
T443,10,41
F001,8,18
S031,10,11
M0736,5,41
K729,74,306
N760,78,214
M2542,17,38
M5499,1136,2229
M797,23,749
I429,125,582
A156,5,5
M0694,140,240
S0601,2,2
T391,1305,1662
S8261,15,16
S6281,7,8
T928,1,73
Z713,19,322
C841,2,3
Q913,1,3
R14,486,2123
B07,679,862
T320,0,13
L910,269,320
M8792,3,3
B011,2,3
W490,0,52
K265,124,135
M7695,0,2
T019,3,5
M792,92,143
M5335,2,2
Q078,3,9
X455,0,1
Q178,4,5
I260,33,48
T293,9,13
K911,19,46
Y593,0,22
W030,0,15
M0689,7,13
F629,2,14
D162,38,46
M6648,1,1
Y059,0,1
D588,1,2
I098,1,1
W529,0,3
K8036,1,1
Y514,0,3
M2425,8,11
Q740,13,25
N420,41,99
M1126,70,321
M8096,2,3
L738,50,73
F070,9,18
Z034,13,2982
R200,16,40
C261,1,4
D124,1028,1747
Z014,176,243
M890,51,64
A150,17,21
W789,0,14
W158,0,42
W344,0,4
R568,1562,2430
H214,8,13
M151,33,66
H603,35,48
M9122,0,1
O812,0,1
F060,3,4
T592,2,3
M5490,62,95
S0211,4,16
Q618,0,2
T393,260,547
C639,2,2
T355,1,2
I079,0,5
M8443,1,1
G709,15,33
A151,4,9
O021,1536,1542
W215,0,1
V782,0,1
H334,46,81
N758,12,12
H838,20,31
L081,1,1
S080,2,4
M4719,0,2
Q401,1,12
R772,0,5
Z089,961,993
M0582,1,1
V229,0,3
O011,7,11
M1286,1,1
W180,0,851
M2433,0,1
A160,2,3
W149,0,34
X098,0,3
M6223,1,2
M6208,8,20
D092,4,6
Y449,0,6
R15,1325,2201
S427,2,6
B787,0,1
B353,16,179
M201,7567,8053
X034,0,1
O159,3,3
M255,1698,2058
L242,1,1
Z238,1,3
D735,15,77
X538,1,2
I870,8,12
Q111,2,13
C269,26,50
I420,398,797
K031,1,1
M2391,6,9
M1906,8,29
Y836,0,5133
X939,0,2
S3670,2,3
C33,14,17
L238,4,9
W513,0,100
Z135,55,116
O720,85,253
L870,3,4
M4028,3,4
F163,1,1
N057,10,23
C791,28,76
Q446,19,91
I348,6,24
H180,3,20
T245,3,4
M7138,42,85
T652,1,2
R761,0,7
Z048,456,1019
M7919,54,142
D333,281,385
C845,52,99
T529,4,7
O808,83,84
M6606,83,92
S366,0,1
Q138,2,4
Z748,0,72
Z872,1,782
X634,0,1
M8936,2,5
F114,1,1
I739,902,3150
N46,64,75
O695,0,1
D121,36,64
S868,76,92
T453,1,1
D692,13,23
M109,79,1944
M2322,3147,3428
T731,3,4
M8685,3,9
X779,0,1
X999,0,98
M7710,1,1
H522,84,246
S858,2,3
M7078,1,1
B179,9,12
S2770,1,1
C780,568,2239
N512,0,16
C762,16,30
M7259,4,6
D599,14,39
V194,0,16
T134,0,2
M4331,2,2
K076,240,285
G900,51,83
C412,9,15
M4004,0,1
N342,68,124
T287,0,1
M2507,5,5
O339,35,54
M076,1,3
D316,7,8
O894,10,23
T178,12,27
C696,15,18
Z369,221,475
H263,12,14
D013,29,56
C846,2,2
T675,1,1
B349,1487,2004
C601,18,29
Q675,10,36
T400,0,2
H158,13,32
E893,54,107
O301,9,19
T268,1,1
E309,0,1
Q833,10,17
M4959,0,2
Z023,0,1
M400,0,2
B022,70,119
M6501,0,1
F500,27,59
U818,0,11
E221,37,82
M1397,324,692
E850,2,7
K620,1025,1513
M5386,6,11
E853,10,27
K080,2,3
O991,15,74
M539,6,15
I691,0,130
N808,119,323
Q692,1,1
M8211,0,82
N872,101,109
M6025,1,1
S151,2,4
C826,2,2
W171,0,1
M6209,0,2
V224,0,17
J014,9,10
E106,20,48
M1227,6,6
J961,62,246
N854,44,926
V494,0,81
L413,0,1
C863,1,2
M8698,20,41
O469,649,772
O721,210,1272
Z464,19,22
M2590,3,7
Q821,3,3
Q311,3,5
M352,14,37
L551,2,3
A071,32,49
W493,0,2
K011,2027,2202
M2380,37,76
V0318,0,1
I781,369,688
Y882,0,4
M243,5,8
M5445,1,2
I888,18,19
Y700,0,1
C902,63,102
I110,16,60
B970,0,5
M7115,1,1
W7909,0,1
M8196,3,32
S8271,6,6
Z376,0,1
D434,18,28
C409,0,2
F659,0,2
E890,10,1372
X099,0,24
R21,571,2244
M45X9,66,367
M4156,5,18
I311,20,25
Z866,6,7641
J451,1,20
M202,1524,1773
M8509,1,3
G821,50,97
M8206,0,1
M7999,10,22
C770,238,885
M9424,2,3
D197,1,1
V813,0,1
I519,62,652
Z637,0,79
R02,129,703
O321,646,806
M2551,787,1239
A181,9,17
B663,1,1
E109,360,3364
M4361,0,1
J150,32,82
C833,663,861
M4807,182,342
F229,15,21
M2561,127,156
Y0808,0,1
E711,1,2
O031,47,47
S518,75,135
R99,2,9
T143,6,8
L904,0,4
N871,588,623
M2194,8,11
Q858,8,29
W019,0,2048
T211,6,15
M2579,4,23
M2548,4,7
Z891,0,5
Z016,326,578
Q423,0,1
T568,31,48
W079,0,110
B450,1,1
Q202,0,2
D429,4,16
M0693,58,83
Z804,21,1353
S564,49,69
M9077,1,2
M2562,25,33
V694,0,1
B470,1,1
Z319,9,12
L899,13,234
B211,1,1
M1037,0,1
W5481,0,1
F101,190,3477
J010,22,34
M8498,0,1
I951,646,1667
O010,11,13
S2280,2,3
N881,14,52
M4644,20,23
Y800,0,1
Q699,0,1
G052,0,2
M4655,0,1
I211,2307,2494
B005,29,60
V706,0,1
S005,15,66
C837,27,36
C55,133,185
M360,2,6
Z841,0,44
V587,0,1
M8683,1,1
N410,168,275
M6595,8,63
Y608,0,34
M7928,76,100
A749,0,2
M4899,3,16
N433,1250,1567
S3600,22,47
L111,6,9
D680,49,135
S252,0,2
D484,10,18
A527,1,1
X388,1,1
Y299,0,5
M4157,1,1
C709,2,9
V447,0,1
B659,1,4
Z611,0,2
O335,8,19
H101,3,12
M4695,0,1
N764,237,255
W001,0,2
Z355,37,477
O813,12,29
D643,7,10
M2419,3,5
M4942,0,2
K103,18,26
W296,0,40
M9482,0,2
Z429,21,32
M051,9,25
M4782,427,2311
M2515,0,2
M8589,14,261
O040,3,3
D685,3,117
N824,22,39
A079,1,1
I088,5,108
M5437,67,114
Q631,2,64
C755,6,9
M7790,1,2
M795,60,67
Y443,0,22
E168,0,2
M2327,3,3
Y771,0,2
M431,100,241
Q173,1,1
T482,1,2
W049,0,6
Z954,1,1107
J352,27,53
W102,0,77
Z635,0,44
O622,118,279
R298,1009,1976
Q312,0,1
H523,16,184
F940,0,1
M2464,9,13
W3182,0,2
S648,2,3
M659,117,432
K121,181,487
C800,168,360
B675,1,1
Y841,0,146
W547,0,2
A040,0,3
H328,0,2
H052,41,122
M2184,4,5
B949,0,12
O713,5,15
M5444,1,1
N132,729,801
I770,52,73
W371,0,2
H038,2,10
M9989,0,4
G030,7,8
T188,1,2
S529,4,4
M838,0,1
R55,7508,11057
J634,2,6
D501,4,11
Q897,0,1
X905,0,1
K131,5,10
V2849,0,1
C775,35,438
L605,2,5
W078,0,12
G542,12,19
M4318,1,3
T281,1,1
X639,0,83
C259,414,578
D800,2,3
M88,0,3
Q134,0,1
V474,0,1
M8582,1,7
F809,0,1
M4368,0,2
Z408,50,80
M8690,0,2
R850,3,9
H181,28,46
W075,0,18
M6652,3,6
I81,29,195
D141,81,84
J920,29,453
B206,17,18
M7198,3,3
M7717,1,1
Y084,0,4
Z811,1,17
H100,0,17
M2399,59,72
B341,5,7
T458,0,3
S840,1,4
L719,83,282
W939,0,1
D613,2,2
M7916,44,54
T96,0,8
Y599,0,5
B238,20,28
G244,6,9
S889,3,3
R739,207,575
H503,7,10
S0240,325,469
S598,2,6
J178,0,1
S245,0,1
C030,8,10
S920,79,93
G255,4,13
D801,51,91
M2437,7,36
I120,408,1867
H160,139,174
G700,137,232
J129,29,31
R258,63,170
M6285,39,74
E283,22,52
T0260,4,4
Z876,0,34
M2337,1,3
B189,3,19
L255,1,1
I258,519,9003
N184,54,388
I212,283,303
N999,11,23
D400,41,57
Q892,97,106
T791,1,3
N924,268,365
M4029,0,44
M4618,27,31
M6282,13,35
J351,221,320
B212,4,5
A490,31,413
M9960,0,2
Z823,2,698
M6747,19,25
M708,11,14
L419,1,5
R042,1876,2542
S923,40,73
V4759,0,1
S2720,30,96
N281,161,1574
O699,17,57
B86,5,23
W100,0,1891
W2303,0,1
L568,31,53
L530,10,16
B258,10,21
I663,9,15
S048,0,2
M0287,2,3
M4832,0,1
N369,45,67
Q716,0,2
I229,454,537
M6026,0,1
H721,15,29
X780,0,108
M6293,1,2
Y329,0,1
Z636,0,28
W072,0,36
M9596,0,1
S981,8,10
D841,10,21
Q201,0,3
Q780,10,42
X530,0,2
S353,0,3
M7784,4,4
M8738,1,1
R233,54,150
K701,116,184
M1983,2,2
M8488,1,3
Y540,0,8
Q175,25,25
M9422,0,3
G032,2,3
T112,0,1
Y731,0,6
M0836,1,1
Q500,0,6
H261,109,125
C049,48,68
Z291,17,179
Z126,47,57
L981,11,26
F105,27,43
M7658,1,1
E121,0,1
Q775,1,1
F608,8,17
Q234,0,2
M4894,3,4
R412,24,111
R871,3,4
Y498,0,7
B172,8,14
I808,74,180
