ICD10,f41202,All
K003,1,1
M192,9,14
O751,0,3
N952,308,1308
M6205,0,1
F321,248,307
Z613,0,2
T440,3,3
R500,196,392
R448,41,82
Z412,13,17
N761,18,29
C759,16,22
L233,5,7
W7904,0,2
I846,1841,4579
T058,1,1
J060,7,8
A188,4,5
V417,0,1
M1288,12,13
J160,1,2
Z228,0,32
V466,0,1
K803,220,261
B976,0,2
G479,1027,1099
M5429,78,135
D280,111,136
B370,117,1022
C922,3,6
M7980,75,127
X928,0,2
Y615,0,1
O750,30,92
O700,1813,2826
Q165,1,2
V436,0,165
S870,0,2
R868,97,106
Q245,10,27
O849,2,2
M4297,1,1
Y710,0,5
E833,14,214
Q619,2,32
Z615,0,10
I510,24,81
Z762,3,4
C940,2,3
M2159,0,1
S654,2,11
K839,54,73
M1029,0,2
M2527,0,1
S6251,77,94
M7252,3,3
L123,0,2
M199,798,6630
S434,14,24
Q170,4,4
M4799,94,828
B879,1,2
R457,2,25
B270,6,15
H442,4,299
M8687,19,28
T519,19,177
M1004,12,14
Y828,0,5
F106,15,38
M513,1720,3140
N073,0,1
S061,2,6
O312,8,14
C07,85,132
K040,52,59
M9976,1,1
C834,3,12
K869,100,179
D694,17,46
E281,1,1
M5396,16,22
G568,77,115
W8609,0,1
M9011,0,1
D216,9,10
M4699,15,346
Z308,43,62
M8149,11,44
T055,0,1
C911,382,773
M2313,2,2
L129,4,12
F530,9,22
R629,0,3
Y527,0,16
F458,311,381
T149,25,33
M8983,13,16
M8411,148,160
F607,14,28
E162,546,1128
O48,637,1482
Z411,796,884
H511,3,4
A321,4,5
M8731,0,2
O343,58,66
L041,7,11
X315,0,1
T0250,19,25
D698,1,9
Z624,0,2
S0271,0,2
M2187,8,15
B651,1,1
N298,2,20
X921,0,2
G576,1327,1535
X136,0,2
T234,4,4
W276,0,30
Y654,0,42
M223,43,90
X421,0,3
S934,56,138
S669,41,51
M8487,16,21
M8995,32,60
S8600,2,2
W093,0,5
Z080,4599,4728
M4836,1,1
M2321,439,539
Z878,1,800
B538,1,1
H959,7,10
R253,39,110
Q642,1,2
K112,378,431
L608,174,203
M4309,3,32
Z453,33,37
N459,793,952
Y523,0,154
Z478,355,398
S817,16,30
D181,30,51
V799,0,5
K824,55,530
D109,18,20
Z436,223,275
